"Data Broker Name","Email Address (Accessible to the public)","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Spy Dialer, Inc. dba SpyDialer.com","info [at] spydialer.com","https://www.spydialer.com","32605 Temecula PkwySuite 216Temecula, CA 92592United States","Go to spydialer.com, then click the link ""Do Not Sell My Info"".","Go to spydialer.com, then click the link ""Remove My Info"".","SpyDialer.com collects public data and uses it to provide the public free reverse phone lookups.  The data helps site users to protect their privacy by allowing them to check the identity of callers making unwanted, missed or harassing phone calls. The site also allows anyone who wants to remove their personal data to do so -- no questions asked. ","01/16/2020"
"First Orion, Inc. ","cdenton [at] firstorion.com","http://www.firstorion.com","500 President Clinton Ave, Ste. 215Little Rock, AR 72201United States","First Orion provides a website where a consumer can exercise their rights to Access, Delete & Opt-Out for our Call Knowledge products at privacy.firstorion.com.  The website can also be found on our company website in the footer at the link ‘Do Not Sell My Personal Information’. If the consumer does not have access to a computer or email address, then they can opt-out via postal mail at First Orion Compliance Department, ATTN: Opt-Out, 500 President Clinton Avenue, Ste. 215, Little Rock, AR 72201 or by calling the following toll free number 1.877.640.4220.
","First Orion does not post any consumer information online. ","First Orion’s products and services include various features and functionality to tell you who is calling and why, identify and block businesses who are likely scammers, do reverse telephone number lookups, file complaints, report call violations to the proper authorities, and provide enhanced information that can be displayed on your device. Some of these services are provided through our telecommunications carrier clients, while others are delivered directly to the consumer via our apps.  In addition, our Call Knowledge Suite helps companies verify who that phone number belongs to, what type of device it is, and whether a number is in service. To learn more visit our US Privacy Policy at https://firstorion.com/privacy-policy/. 
","01/30/2020"
"Infutor Data Solutions LLC","infutorvendorinfo [at] infutor.com","https://infutor.com/","One Lincoln Center, 18W140 Butterfield Rd. Ste 1020Oakbrook Terrace, IL 60181United States","Consumers should go to https://privacy.infutor.com/ to submit CCPA requests. Consumers may also call (866) 207-1399 or email compliance@infutor.com","Consumers should go to https://privacy.infutor.com/ to submit CCPA requests. Consumers may also call (866) 207-1399 or email compliance@infutor.com","","01/21/2020"
"Oracle America, Inc., Oracle Data Cloud  ","privacy_ww [at] oracle.com ","http://www.oracle.com","500 Oracle PkwyRedwood City, CA 94065United States","The Oracle Data Cloud (“ODC”) provides opt-out options in the ODC Privacy Policy, available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html#12. Consumers can also opt out with the ODC at https://datacloudoptout.oracle.com/.   ","Individuals can request deletion of all their online and offline information by opting out of ODC services using the ODC opt-out tool available at https://datacloudoptout.oracle.com/.  
","Detailed information on the ODC’s processing practices for consumer data is available at https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html. ","03/11/2020"
"Semasio GmbH","info [at] semasio.com","http://www.semasio.com","Hermannstrasse 13200095 HamburgGermany","We have provided a direct opt-out functionality on our website https://www.semasio.com/privacy/optout where we also request whether the opt out is being performed under CCPA. Internet users can perform their right for information on https://me.semasio.net/right-for-information/. Further information on how we handle data is accessible at https://www.semasio.com/privacy.
","If the individual opts out the data is not being used anymore and deleted.","We receive cookie IDs and visited URLs which we use for profile building. We do not match that information with any other PII.","01/14/2020"
"Blackbaud, Inc. ","privacy [at] blackbaud.com","http://blackbaud.com","65 Fairchild St.Charleston, SC 29492United States","Individuals can exercise their rights with respect to their personal data we control by visiting our CCPA page (https://www.blackbaud.com/company/california-consumer-privacy-act) or by calling Toll-Free Phone Number: 1-866-I-OPT-OUT, Service Code: 220. ","Individuals can exercise their rights with respect to their personal data we control by visiting our CCPA page (https://www.blackbaud.com/company/california-consumer-privacy-act) or by calling Toll-Free Phone Number: 1-866-I-OPT-OUT, Service Code: 220. ","","01/31/2020"
"Lender Feed LC","support [at] monitorbase.com","https://ww3.monitorbase.com/","310 E 4500 S270Murray, UT 84107United States","You may request to exercise your rights by:

Calling us at (888) 795-6575
Emailing your request to privacy@monitorbase.com 
Only you may make a verifiable consumer request related to your personal information. You may also make a verifiable consumer request on behalf of your minor child.

You may only make a verifiable request to exercise your rights twice within a 12-month period. The verifiable consumer request must:

Provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative.
Describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it.
As required by law, we may take steps to verify your identity before granting you access to your information or completing your request to exercise your rights.  We will respond to your request within 45 days of your request submission view email response or written format via mail.  We do not charge a fee for processing your request to exercise your rights.","You may request to exercise your rights by:

Calling us at (888) 795-6575
Emailing your request to privacy@monitorbase.com 
Only you may make a verifiable consumer request related to your personal information. You may also make a verifiable consumer request on behalf of your minor child.

You may only make a verifiable request to exercise your rights twice within a 12-month period. The verifiable consumer request must:

Provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative.
Describe your request with sufficient detail that allows us to properly understand, evaluate, and respond to it.
As required by law, we may take steps to verify your identity before granting you access to your information or completing your request to exercise your rights.  We will respond to your request within 45 days of your request submission view email response or written format via mail.  We do not charge a fee for processing your request to exercise your rights.","MonitorBase does not collect information directly from consumers. We are a business-to-business software service provider. MonitorBase processes public data available through government agencies and prescreened consumer reports that are regulated under the Fair Credit Reporting Act. ","01/16/2020"
"Lead411 Corporation","tom [at] lead411.io","http://lead411.com","730 EVERGREEN AVEBOULDER, CO 80304United States","https://www.lead411.com/removeinforequest/.","No information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1).","More information available at https://www.lead411.com/policy/.","01/22/2020"
"Giant Partners, Inc ","Sheldon [at] Giantpartners.com","http://Giantpartners.com","1461 Lawrence Dr2nd FloorThousand Oaks, CA 91320United States","Our Website has been updated with CCPA verbiage, forms and phone number(s) as required by the California Consumer Protection Act.  ","Our Website has been updated with CCPA verbiage, forms and phone number(s) as required by the California Consumer Protection Act.  Once a consumer has been verified to be in our database, as required in the CCPA, verified consumers can have their information removed permanently.","","01/22/2020"
"Gravy Analytics, Inc.","privacy [at] gravyanalytics.com","https://gravyanalytics.com/","45610 Woodland Rd.Suite 100Sterling, VA 20166United States","For any requests related to the CCPA, a protected individual may contact us by any of the following mechanisms:

1) Emailing us at legal@gravyanalytics.com; or
2) Calling the following toll-free number: 1-855-545-5623
 
In addition, a consumer may opt-out of the sale of their personal information by filling out Gravy's Opt-Out and Do not Sell form, available at: https://gravyanalytics.com/opt-out-form/. The form provides instructions for a consumer to identify their Mobile Advertiser Id (this is the ID Gravy Analytics utilizes in its provision of data services). Upon receipt of an opt-out request, Gravy Analytics will remove all data in our data sets related to such Mobile Advertiser Id.","A protected individual may submit a deletion request by:

1) Emailing us at legal@gravyanalytics.com;
2) Calling the following toll-free number: 1-855-545-5623; or
3) Submitting the Opt-Out and Do not Sell form (available at, https://gravyanalytics.com/opt-out-form/)","Gravy Analytics takes privacy seriously. Gravy Analytics sources data from third party data providers. All of our third data providers are appropriately vetted, required to complete a privacy questionnaire, and contractually represent and warrant they have complied with all applicable laws as it relates to their collection, use, and transfer of consumer personal information. Please visit our Privacy Policy at http://docs.gravyanalytics.com/privacypolicy.html and our California Resident's Notice at http://docs.gravyanalytics.com/privacypolicy_ca.html to learn more about our privacy practices.","02/07/2020"
"Otonomo Inc. ","privacy [at] otonomo.io","https://otonomo.io/privacy-policy/","889 Winslow Street Suite 500Redwood City, CA 94062United States","","","","02/07/2020"
"Cision US Inc.","DPO [at] cision.com","http://www.cision.com","12501 Indian Creek CourtBeltsville, MD 20705United States","Consumers can do this by emailing Privacy@cision.com, calling toll-free on  877-297-8921 or submitting a request via an online for at https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en 
","Cision does not post such information online but any deletion requests can be submitted by emailing Privacy@cision.com, calling toll-free on 877-297-8921 or submitting a request via an online for at https://cision.service-now.com/gdpr?id=dsr_entry_form&lang=en","Cision collect consumer personal information either directly from the consumer, or from publicly available sources such as: 
•	Articles or blogs the consumer may have written 
•	Vlogs the consumer may have created 
•	The consumer’s own website 
•	The consumer’s employer's websites 
•	The consumer’s publisher's website 
•	The consumer’s publicly available social media profiles (including, for example, Facebook, Instagram, Twitter, and LinkedIn) 
•	Telephone conversations which may be recorded by us to help us improve our training and quality 
•	Other publicly available online sources 
•	Other consumers (who may, for example, tell us if another consumer has changed jobs, but we will not publish that information until we have independently verified it) 
•	Our customers 
•	Third parties, such as Brandwatch, Talkwalker, IHS Markit and Capestart 
•	The consumer’s employer (if they are employed) 
•	The consumer’s press team tell us 
 
For further Information about how Cision processes your personal information and your rights regarding this, please see here https://gdpr.cision.com/additional-information-for-californian-consumers","02/07/2020"
"Chartable Holding, Inc.","privacy [at] chartable.com","https://chartable.com","535 5th Ave, Fl 16New York, NY 10017United States","Do Not Sell My Personal Information - https://www.requesteasy.com/5dcc2d4877702b00045328a0

You may also make those requests by calling 800-373-9053.
","Do Not Sell My Personal Information - https://www.requesteasy.com/5dcc2d4877702b00045328a0

You may also make those requests by calling 800-373-9053.
","For more information about how we collect and process data, visit chartable.com/privacy. ","01/30/2020"
"Welltok, Inc.","privacy [at] welltok.com","http://www.welltok.com","1515 Arapahoe StreetTower 3, Suite 700Denver, CO 80202United States","Submit a request using the Individual Data Rights Request Form (https://welltokinc.service-now.com/csm?id=privacy_request&sysparm_domain_restore=false&sysparm_stack=no) or send an email to privacy@welltok.com.","Submit a request using the Individual Data Rights Request Form (https://welltokinc.service-now.com/csm?id=privacy_request&sysparm_domain_restore=false&sysparm_stack=no) or send an email to privacy@welltok.com.","","02/07/2020"
"Factor Systems, Inc. dba Billtrust","ComplianceDept [at] billtrust.com","http://www.billtrust.com","1009 Lenox DriveSuite 101Lawrenceville,, NJ 08648United States","A sole proprietor whose personal information we sell in the context of our credit application or credit management products may submit a request to opt out of sale of their personal information by filling out the form accessible at https://www.billtrust.com/do-not-sell-my-information/","Factor Systems, Inc. does not knowingly and intentionally publicly post or publicly display on the Internet the home address, home telephone number, or image of any protected individuals by Gov. Code sections 6208.1(b) or 6254.21(c)(1).

Should an individual need to demand deletion of their information for any reason, they can request it by using the contact details provided at: https://www.billtrust.com/privacy-policy/#contact  

","The Company offers a platform that delivers business credit information to allow businesses to make informed credit decisions in a secure controlled environment. The Company obtains credit information by combining news, credit bureau data, financials, filings, news, with trade payments and instant peer references into one integrated platform. 

Subscribers to the service voluntarily submit to the Company information such as credit references, comments, trade accounts, receivables payment and detailed transaction data. They grant the Company a worldwide license to sell, display and distribute (inclusive to other globally recognized credit reporting bureaus), reproduce, reformat, combine with other data and use such Content in the products, services or data that we license, sell and/or provide to others. Documents, financials, etc., that subscribers upload to their private Virtual Credit File are confidential to the subscriber. 

The information that the Company compiles in the credit files (such as the information provided by credit bureaus) is subsequently made available to other customers of the Company. Since the Company does not always have a direct relationship with the customers of the subscribers, which can be sole proprietors at times, their personal information may be shared.  
","02/27/2020"
"HireTeamMate, Inc. dba Hiretual","legal [at] hiretual.com","http://www.hiretual.com","2513 E. Charleston Rd., Suite 200Mountain View, CA 94043United States","Consumer can request opt out through the following methods:

1. Use Hiretual opt-out tool: https://app.hiretual.com/optout
2. Contact Hiretual to request opt out through the following ways: 

Consumer Support Hotline: +1 408-831-1223 ext. 2
Consumer Support Email: support@hiretual.com
Security Report/Complaint: security@hiretual.com
Mailing Address:
Attn: Legal Department
HireTeamMate, Inc. dba Hiretual
2513 E. Charleston Rd., Suite 200
Mountain View, CA 94043

","Consumer can request deletion of information through the following methods:

1. Use Hiretual opt-out tool: https://app.hiretual.com/optout
2. Contact Hiretual to request deletion through the following ways: 

Consumer Support Hotline: +1 408-831-1223 ext. 2
Consumer Support Email: support@hiretual.com
Security Report/Complaint: security@hiretual.com
Mailing Address:
Attn: Legal Department
HireTeamMate, Inc. dba Hiretual
2513 E. Charleston Rd., Suite 200
Mountain View, CA 94043
","HireTeamMate, Inc. dba Hiretual is an artificial intelligence (AI) recruiting software company. We provide services to customers through our software solution which collects Personal Information and shares with our customers for their internal operational purposes - specifically to engage with a passive job candidate with regard to career opportunities that fit that candidate’s skill sets and professional background. We aspire to help a passive job candidate get to where he or she wants to be professionally and personally, and hope that through our services a passive job candidate will get better career development from companies that he or she wants to work with and that need his or her profession.","01/31/2020"
"Accucom Corporation","jenna [at] accucomcorp.com","http://accucomcorp.com","28 Atlantic AveSuite 227Boston, MA 02110United States","Consumers may email, call, or fill out the automated form on our websites. We also offer live chat assistance. 

infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","Individuals can email, call, live chat, or fill out our automated opt out form on the websites. 

infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","We are mainly a public records site, however we do purchase some private information for resale. We do collect basic information (email address, IP, etc...) when consumers purchase our products but we do not resell this information, it is for internal use only.

infotracer.com, recordsfinder.com, courtcasefinder.com, idstrong.com","01/30/2020"
"Clickagy","support [at] clickagy.com","https://www.clickagy.com","695 Mansell Rd, Suite 250Roswell, GA 30076United States","Via our website: https://www.clickagy.com/privacy/ or https://www.clickagy.com/ccpa/","Via our website: https://www.clickagy.com/ccpa/","We collect online behavioral data in compliance with all current US privacy laws.","01/23/2020"
"J.D. Power","laszlo.kupan [at] jdpa.com","http://jdpower.com","30870 Russell Ranch RdSuite 300Westlake Village, CA 91362United States","California consumers may opt out of sale or submit requests under the CCPA by submitting a request through the online forms available at jdpower.com/Privacy/California/DSAR or by calling the toll-free number at (866) 467-8688 x327. ","A protected individual can submit a request to jdpowerprivacy@jdpa.com or call (888) 537-6937.","More information about the company’s privacy practices is available at jdpower.com/privacy.  ","02/12/2020"
"Optimal Fusion","dataprotection [at] optimalfusion.com","http://www.optimalfusion.com","1635 North Cahuenga BlvdSuite 500los angeles, CA 90028United States","Consumers can visit www.OptimalFusion.com and click on the hyperlink at the footer of the page that says “DO NOT SELL MY PERSONAL INFORMATION.”  Once they do so, they will be directed to our CCPA compliant privacy policy which will automatically scroll the page to the relevant paragraph https://optimalfusion.com/privacy#CCPA .  The email address to our Data Protection Officer (dataprotection@optimalfusion.com), along with a toll free phone number (866-764-1025) is provided herein. Consumers can utilize either method to request that their information is not sold.","Consumers can visit www.OptimalFusion.com and click on the hyperlink at the footer of the page that says “DO NOT SELL MY PERSONAL INFORMATION.”  Once they do so, they will be directed to our CCPA compliant privacy policy which will automatically scroll the page to the relevant paragraph https://optimalfusion.com/privacy#CCPA .  The email address to our Data Protection Officer (dataprotection@optimalfusion.com), along with a toll free phone number (866-764-1025) is provided herein. Consumers can utilize either method to request that their information is deleted.","Data is collected in compliance with our privacy policy and CCPA.  ","01/30/2020"
"RecruitBot, Inc.","accounting [at] therecruitbot.com","http://www.therecruitbot.com","149 New Montgomery St.#569SAN FRANCISCO, CA 94105United States","Consumers may contact us at our toll free number, at 1-888-481-6811. They may also contact us via email at privacy@therecruitbot.com, or fill out a request form at www.therecruitbot.com/opt-out/.","Protected individuals may contact us at our toll free number, at 1-888-481-6811. They may also contact us via email at privacy@therecruitbot.com, or fill out a request form at www.therecruitbot.com/opt-out/.","We collect data from a variety of sources. All purchased data sources are explicitly in compliance with CCPA and GDPR. We have obtained a signed attestation from our third party vendors explicitly affirming their compliance. ","01/23/2020"
"Throtle","privacy [at] throtle.io","https://www.throtle.io","141 West Front StreetSuite 410Red Bank, NJ 07701United States","By visiting our data privacy manager via our website or by calling our toll-free number which is posted on our website. ","By visiting our data privacy manager via our website or by calling our toll-free number which is posted on our website. ","Users can visit our privacy policy for details on our data collecting practices. ","01/31/2020"
"Anchor Computer Inc.","mfarrugia [at] anchorcomputer.com","https://www.anchorcomputer.com/","1900 New HwyFarmingdale, NY 11735United States","","","","01/30/2020"
"Cognism","privacy [at] cognism.com","https://www.cognism.com","1209 Orange StreetWilmington, DE 19801United States","A consumer may opt out of sale or submit requests under the CCPA by going to the California Resident & CCPA Section of our Privacy Policy (https://www.cognism.com/privacy-policy) and filling out the corresponding form: https://www.cognism.com/data-opt-out","A protected individual can demand deletion of their personal information by filling out the Data Opt-Out form, available at: https://www.cognism.com/data-opt-out","Our data collection and management practices can be located here: 
https://www.cognism.com/privacy-policy","06/18/2020"
"Versium","dlim [at] versium.com","http://www.versium.com","7530 164th Ave NEA204Redmond, WA 98052United States","Consumers may opt out via email to optout@versium.com, webform at https://versium.com/ccpa-opt-out, or by calling 1-800-395-0164.","Consumers may demand deletion of information via email to optout@versium.com, webform at https://versium.com/ccpa-opt-out, or by calling 1-800-395-0164. ","For information on data collecting practices, please see our Privacy Notice for California Residents at https://versium.com/ccpa-privacy-policy.","01/31/2020"
"Jellyfish US Ltd.","mydata [at] jellyfish.com","https://www.jellyfish.com/en-us","250 S. President StreetSuite 10Baltimore, MD 21202United States","","","","02/12/2020"
"US Data Corporation","erich [at] usdatacorporation.com","https://www.usdatacorporation.com","31330 Oak Crest DriveSuite 102Westlake Village, CA 91361United States","US Data Corporation provides multiple methods by which a consumer may exercise their rights under the CCPA.  1) Consumers can search, view, print, copy, and comment on their individual information by visiting either http://transparency.usdatacorporation.com or http://www.seemyinfo.com   2)  Consumers may also call us toll free at (888) 205-1623    3) Consumers may e-mail their request  to privacy@usdatacorporation.com and   4)  Consumers may bypass a review of their personal data and visit https://usdatacorporation.com/opt-out.    5) Consumers may write to: US Data Corporation, 31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91301
 "," 1) Consumers may demand deletion of personal information via form submission at  https://usdatacorporation.com/opt-out   2)  Consumers may also call toll free at (888) 205-1623    3) Consumers may e-mail instructions to privacy@usdatacorporation.com and   4) Consumers may write to: US Data Corporation, 31330 Oak Crest Drive, Suite 102, Westlake Village, CA 91301","Additional information about US Data Corporation's data collection practices may be found at:  https://www.usdatacorporation.com/privacy-policy and https://www.usdatacorporation.com/do-not-sell-my-info","01/23/2020"
"Sawyer Lists, LLC","admin [at] sawyerdatadirect.com","http://www.sawyerlists.com","2910 E. 57th Ave, Ste 5-135Spokane, WA 99223United States","Go to www.sawyerlists.com or call 800-327-3595","Go to www.sawyerlists.com or call 800-327-3595","","01/23/2020"
"Zenrin USA, Inc.","yoko [at] zenrin.com","http://www.zenrin.com","1350 Bayshore HighwaySuite 580Burlingame, CA 94010United States","A consumer can contact us in the following methods:
By email: contact@zenrin.com
By visiting this page on our website: https://www.zenrin.com/contact-us/
By toll-free telephone number: 877.624.9471
By mail: 1350 Bayshore Highway, Suite 580, Burlingame, CA 94010","A consumer can contact us in the following methods:
By email: contact@zenrin.com
By visiting this page on our website: https://www.zenrin.com/contact-us/
By toll-free telephone number: 877.624.9471
By mail: 1350 Bayshore Highway, Suite 580, Burlingame, CA 94010","Please refer to our CCPA compliant Privacy Policy:
https://www.zenrin.com/privacy-policy/","01/31/2020"
"Acxiom LLC","consumeradvo [at] acxiom.com","http://acxiom.com","301 East Dave Ward DriveConway, AR 72032United States","California consumers may opt out of the sale of their personal information by submitting an online request to www.acxiom.com/optout.  Consumers may also submit an email request to consumeradvo@acxiom.com or by direct mail or telephone. Our telephone number is 1-877-774-2094. Our mailing address is:  Acxiom LLC, Attn: Consumer Care Advocate - CCPA Requests, P. O. Box 2000, Conway, AR 72033.  Detailed information and instructions on how a California consumer may exercise their rights under CCPA can be found at:  https://www.acxiom.com/what-we-are-thinking/california-consumer-privacy-act/for-consumers/.","California consumers and/or elected or appointed officials may submit an opt-out request by submitting an online request to www.acxiom.com/optout.  Consumers and/or elected or appointed officials may also submit an email request to consumeradvo@acxiom.com or by direct mail or telephone. Our telephone number is 1-877-774-2094. Our mailing address is:  Acxiom LLC, Attn: Consumer Care Advocate - CCPA Requests, P. O. Box 2000, Conway, AR 72033.","An in-depth discussion of Acxiom's data collection practices can be found at:  https://www.acxiom.com/about-us/privacy/highlights-for-us-products-privacy-policy/.","01/22/2020"
"Cogensia LLC","cmora [at] cogensia.com","http://www.cogensia.com","100 W Hillcrest Blvd, Ste 406Schaumburg, IL 60195United States","There are forms readily available on our company website under our Privacy Policy section.","All data requests are confidential and for release of information that resides in our databases will require the requesting consumer to validate their identity through either a cancelled check or utility bill to us at info@cogensia.com.","","01/23/2020"
"Xome Leads LLC","licensing [at] xome.com","http://www.eleadz.com","750 Highway 121 BypassSuite 100Lewisvile, TX 75067United States","As an online-only company, consumers can visit our website to submit requests under the CCPA – Right to Know, Right to Deletion, and Right to Opt-out of Sale.  ","We do not post information online for public view, but a protected individual can visit our website to submit a deletion request.   ","Xome Leads LLC is strictly a business-to-business operation; we do not collect any data directly from consumers.","01/31/2020"
"Seamless Contacts, Inc. d/b/a Seamless.AI or Seamless AI","privacy [at] seamlessleads.com ","https://www.seamless.ai/about","438 E. Wilson Bridge Road, Suite 202Worthington, OH 43085United States","Individuals may opt-out by using opt out request form located at https://login.seamless.ai/personalDataRequest. They may opt-out of the inclusion of an individual profile from Seamless.AI’s directory or search engine by emailing privacy@seamlessleads.com with the subject line “Remove.”","Individuals may opt-out or delete their information by using opt out request form located at https://login.seamless.ai/personalDataRequest. They may opt-out of the inclusion of an individual profile from Seamless.AI’s directory or search engine by emailing privacy@seamlessleads.com with the subject line “Remove.”","You may read more about Seamless.AI’s privacy practices in their Privacy Policy (available at https://www.seamless.ai/privacypolicy/) and California Consumer Privacy Policy (available at https://www.seamless.ai/california-consumer-privacy-act-policy/). ","01/30/2020"
"AcademixDirect, Inc","admin [at] academixdirect.com","https://www.degree.me/","548 Market St #33674San Francisco, CA 94104United States","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.  Under ""Your Rights And Choices"" a clickable link to submit a verifiable User request form, a toll-free number, email and physical address is provided to the consumer to opt out of sale or submit requests under CCPA","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.  Under ""Exercising Access, Data Portability and Deletion Rights"" a clickable link to submit a verifiable User request form, a toll-free number, email and physical address is provided to the consumer to opt out of sale or submit requests under CCPA","Navigate to the Privacy Notice for California Residents on our website, which details categories of information we collect, use of personal information, sharing personal information, and the consumer's rights and choices.  ","01/23/2020"
"Market Research Associates, Inc. ","sales [at] marketresearchassociatesinc.com","http://www.marketresearchassociatesinc.com","PO Box 100Danville, VT 05828United States","There will be a link on the home page of the website allowing California individuals to see what information is known about them through Alerts.com They will also be able to call toll free 1-833-495-0111","Either by following the link on the home page or by calling toll free 1-833-495-0111. If calling, we only need their name, address and phone number; no other information. The data will be removed per their request. ","Most of the data we rent for clients goes directly from the list owner to the print shop (direct mail), a computer service bureau (direct mail or e-mail deployment) or to our client (for telemarketing); not through us. All clients who do telemarketing to consumers have valid SAN numbers and data is scrubbed against the Do Not Call. Direct mail clients use the DMA's Mail Preference Service. Any e-mail data rented to our clients is opt in only. All individuals have the right to know what information is known about them and control over it, including the right to have this information deleted. This is detailed in our Privacy Policy on our website. ","01/29/2020"
"S&P Global Inc.","privacy [at] spglobal.com","https://www.spglobal.com","55 Water Street45th FloorNew York, NY 10041United States","A consumer may opt out of the sale of the personal information, under the CCPA using - https://www.spglobal.com/en/privacy/california-consumer-privacy-act

A consumer may submit requests under the CCPA using - https://www.spglobal.com/en/privacy/personal-information-request-form","A protected individual can demand deletion of information posted online using - https://www.spglobal.com/en/privacy/personal-information-request-form","All of S&P Global's, and their affiliate companies', data collection practices are outlined, in detail, in our Privacy Policy, which can be found online here - https://www.spglobal.com/en/privacy/privacy-policy-english ","02/12/2020"
"First Direct, Inc.","support [at] firstdirectmarketing.com","http://www.firstdirectmarketing.com","1508 J F Kennedy DrSuite 103Bellevue, NE 68005United States","Consumers can directly go to https://alerts.com/ and both search and submit requests.","The consumer can go directly to https://alerts.com/ and request deletion of their information.","Consumers can refer to our published privacy policy at : https://www.firstdirectmarketing.com/privacy-policy/","01/30/2020"
