Domain,Name,Privacy Policy,Category,Opt-Out Method,Opt Out URL,Email,Address,Phone Number,Location,Data Broker Affiliation,URL,Spurce URL,In Main List?
criminalscreen.com,Criminal Screen,http://www.criminalscreen.com/privacy.cfm,People Search,No,,Webmaster@CriminalScreen.com,"P.O. Box 8542Coral Springs, FL 33075United States",,Florida,Unknown,http://www.criminalscreen.com/index.cfm,https://privacyrights.org/data-brokers/criminal-screen,FALSE
libertydata.net,Libertydata.Net,http://www.libertydata.net/privacypolicy.asp,People Search,Yes - by email,,"Noble Ventures Inc 4867 Palm Coast ParkwayPalm Coast, FL 32137United States","PMB 286, POB 194000San Juan, PR 00919United States",,Florida,Unknown,http://www.libertydata.net,https://privacyrights.org/data-brokers/libertydatanet,TRUE
tlo.com,Tlo Online Investigative Systems,https://www.tlo.com/privacy,Vague,No,,TLOxpSupport@transunion.com,"4530 Conference Way SBoca Raton, 33431United States",,Florida,Transunion,http://www.tlo.com,https://privacyrights.org/data-brokers/tlo-online-investigative-systems,FALSE
digitalmediasolutions.com,Digital Media Solutions,https://digitalmediasolutions.com/privacy-policy,Marketing Data Broker,Yes - by email,,connect@theDMSgrp.com,"4800 140th Avenue North, Suite 101Clearwater, FL 33762United States",,Florida,Unknown,https://digitalmediasolutions.com/,https://privacyrights.org/data-brokers/digital-media-solutions,FALSE
deluxe.com,Datamyx Llc Dba Deluxe Marketing Solutions,https://fi.deluxe.com/datamyx-privacy/,Marketing Data Broker,Unclear,,privacyprogramoffice@deluxe.com,"2300 Glades Road, Suite 400E,Boca Raton, FL 33431United States",,Florida,Unknown,https://fi.deluxe.com/datamyx/,https://privacyrights.org/data-brokers/datamyx-llc-dba-deluxe-marketing-solutions,TRUE
v12data.com,Datamentors Llc Dba V12,https://v12data.com/v12-privacy-point-of-view/,Marketing Data Broker,Unclear,,pkuman@v12data.com,"2319 Oak Myrtle Ln, Suite 104,  Wesley Chapel, FL 33544United States",,Florida,Unknown,https://v12data.com/,https://privacyrights.org/data-brokers/datamentors-llc-dba-v12,TRUE
clarityservices.com,"Clarity Services, Inc.",https://www.clarityservices.com/privacy-principles/,Vague,Unclear,,"P.O. Box 5717Clearwater, FL 33758United States","15550 Lightwave Drive, Suite 350Clearwater, FL 33760United States",,Florida,Experian,https://www.clarityservices.com/,https://privacyrights.org/data-brokers/clarity-services-inc,FALSE
cortera.com,"Cortera, Inc.",https://www.cortera.com/privacy-policy,Marketing Data Broker,No,,privacy@cortera.com,"901 Yamato Road, Suite 210EBoca Raton, FL 33431United States",,Florida,Unknown,https://www.cortera.com/,https://privacyrights.org/data-brokers/cortera-inc,FALSE
forewarn.com,"Forewarn, Llc",http://forewarn.com/privacy-policy/,Marketing Data Broker,Unclear,,support@forewarn.com,"2650 N. Military Trail, Suite 300,Boca Raton, FL 33431United States",,Florida,Unknown,https://www.forewarn.com,https://privacyrights.org/data-brokers/forewarn-llc,TRUE
fusedleads.com,"Fused Leads, Llc",https://www.fusedleads.com/,Marketing Data Broker,No,,greg@fusedleads.com,"5135 U.S HWY 19N #108,New Port Richey, FL 34652United States",,Florida,Unknown,https://www.fusedleads.com/,https://privacyrights.org/data-brokers/fused-leads-llc,FALSE
healthcare.com,Healthcare.Com,https://www.healthcare.com/info/privacy-policy,Vague,Unclear,,info@healthcare.com,"3401 N. Miami Avenue, Unit 205Miami, FL 33127United States",,Florida,Unknown,https://www.healthcare.com/,https://privacyrights.org/data-brokers/healthcarecom,TRUE
ididata.com,"Interactive Data, Llc",https://ididata.com/idis-privacy-statement/,Vague,Unclear,,support@ididata.com,"2650 N. Military Trail, Suite 300Boca Raton, FL 33431United States",,Florida,Unknown,https://www.ididata.com,https://privacyrights.org/data-brokers/interactive-data-llc,TRUE
nexxagroup.com,"Nexxa Group, Inc.",,undefined,Unclear,,h.paulus@nexxagroup.com,"12734 Kenwood Lane, Ste 87Fort Myers, FL 33907United States",,Florida,Unknown,https://www.nexxagroup.com,https://privacyrights.org/data-brokers/nexxa-group-inc,TRUE
tracersinfoonline.com,"Tracers Information Specialists, Inc.",https://www.tracersinfoonline.com/en/privacy/,Marketing Data Broker,Unclear,,(877) 723-2689,"15740 Flight Path Dr.Brooksville, FL 34604United States",,Florida,Unknown,https://www.tracersinfoonline.com/en/,https://privacyrights.org/data-brokers/tracers-information-specialists-inc,FALSE
whoodle.com,"Whoodle, Llc",https://www.whoodle.com/privacy,People Search,Yes - by email,,5617574086,"2650 N. Military Trail, Suite 300Boca Raton, FL 33431United States",,Florida,Unknown,https://www.whoodle.com,https://privacyrights.org/data-brokers/whoodle-llc,TRUE
bridgevine.com,Bridgevine Inc.,https://www.bridgevine.com/privacy-policy/,Marketing Data Broker,No,,dwayne.landry@bridgevine.com,"555 North Point Center E #225Alpharetta, GA 30022United States",,Georgia,Unknown,https://bridgevine.com/,https://privacyrights.org/data-brokers/bridgevine-inc,FALSE
altisource.com,"Altisource Holdings, Llc",https://altisource.com/Privacy-Notice,Marketing Data Broker,No,,770-612-7007,"C/O Altisource Solutions, Inc., 1000 Abernathy Road, Suite 200Atlanta, GA 30328United States",,Georgia,Unknown,https://www.altisource.com/,https://privacyrights.org/data-brokers/altisource-holdings-llc,FALSE
analytics-iq.com,"Analyticsiq, Inc.",https://analytics-iq.com/privacy-policy/,Marketing Data Broker,Yes - by email,,(888) 612-4309,"115 Perimeter Center Place, Suite 635Atlanta, GA 30346United States",,Georgia,Unknown,https://www.analytics-iq.com,https://privacyrights.org/data-brokers/analyticsiq-inc,TRUE
digitalsegment.com,"Digital Segment, Llc",https://segment.com/docs/legal/privacy/,Marketing Data Broker,Unclear,,(610) 228-0906,"10365 High Falls CircleJohns Creek, GA 30022United States",,Georgia,"Equifax,",https://www.digitalsegment.com/,https://privacyrights.org/data-brokers/digital-segment-llc,TRUE
equifax.com,Equifax Information Services Llc,https://www.equifax.com/privacy/myequifaxservices/,Identity Verification Services,Unclear,,vtinquiries@equifax.com,"1550 Peachtree Street, N.W.Atlanta, GA 30309United States",,Georgia,"Equifax,",https://www.equifax.com/privacy/,https://privacyrights.org/data-brokers/equifax-information-services-llc,TRUE
equifax.com,Intellireal Llc,https://www.equifax.com/privacy/,Identity Verification Services,No,,vtinquiries@equifax.com,"1550 Peachtree Street, N.W.Atlanta, GA 30309United States",,Georgia,"Equifax,",https://www.equifax.com/privacy/myequifaxservices/,https://privacyrights.org/data-brokers/intellireal-llc,TRUE
equifax.com,Ixi Corporation,https://www.equifax.com/privacy/,Identity Verification Services,No,,vtinquiries@equifax.com,"1550 Peachtree Street, N.W.Atlanta, GA 30309United States",(303)893-8600,Georgia,"Equifax,",https://www.equifax.com/privacy/myequifaxservices/,https://privacyrights.org/data-brokers/ixi-corporation,TRUE
possiblenow.com,Possiblenow Data Services,https://www.possiblenow.com/privacy-statement,Marketing Data Broker,Yes - by email,,bschorer@possiblenow.com,"4400 Rivergreen Parkway, Suite 100Duluth, GA 30096United States",(770) 255-1020 ;,Georgia,Unknown,https://www.possiblenow.com,https://privacyrights.org/data-brokers/possiblenow-data-services,TRUE
lexisnexis.com,Lexisnexis Risk Solutions Inc. And Affiliates,https://risk.lexisnexis.com/privacy-policy,Vague,Unclear,,legal.compliance@risk.lexisnexis.com,"1000 Alderman DriveAlpharetta, GA 30005United States",,Georgia,Unknown,https://www.risk.lexisnexis.com/,https://privacyrights.org/data-brokers/lexisnexis-risk-solutions-inc-and-affiliates,TRUE
pipl.com,"Pipl, Inc",http://www.pipl.com/privacy/,Identity Verification Services,Unclear,,mail@pipl.com,"510 S Clearwater Loop, Suite 101Post Falls, ID 83854United States",,Idaho,Unknown,http://www.pipl.com/tos/,https://privacyrights.org/data-brokers/pipl-inc,TRUE
partnerscredit.com,Partners Credit And Verification Solutions,http://www.partnerscredit.com/pcvs_privacy.html,Identity Verification Services,Unclear,,pkarbo@creditinterlink.com;	support@partnerscredit.com,"65 E. Wacker Place, Suite 1405Chicago, IL 60601United States",,Illinois,Unknown,http://www.partnerscredit.com/,https://privacyrights.org/data-brokers/partners-credit-and-verification-solutions,FALSE
cdkglobal.com,"Cdk Global, Llc",https://www.cdkglobal.com/us/privacy-policy,Marketing Data Broker,No,,james.kinzer@cdk.com,"1950 Hassell RoadHoffman Estates, IL 60169United States",(888) 672-2140 ;,Illinois,Unknown,https://cdkglobal.com,https://privacyrights.org/data-brokers/cdk-global-llc,FALSE
civisanalytics.com,"Civis Analytics, Inc.",https://www.civisanalytics.com/privacy_policy/,People Search,Unclear,,compliance@civisanalytics.com,"200 W Monroe St, Suite 2200Chicago, IL 60606United States",(312) 985-0173,Illinois,Unknown,https://www.civisanalytics.com/,https://privacyrights.org/data-brokers/civis-analytics-inc,TRUE
ruf.com,Ruf Strategic Solutions,https://ruf.com/privacy-policy/,Marketing Data Broker,Yes - by email,,matthussey@infutor.com,"1533 E. SpruceOlathe, KS 66061United States",(913) 782-8544,Kansas,Unknown,https://ruf.com/,https://privacyrights.org/data-brokers/ruf-strategic-solutions,FALSE
cisnationwide.com,Cis Nationwide,http://cisnationwide.com/privacy.html,People Search,No,,privacy@cisnationwide.com,"P.O. Box 990142 Boston, MABoston, MA 02199United States",Download Search Results,Massachusetts,Accucom,http://cisnationwide.com/,https://privacyrights.org/data-brokers/cis-nationwide,FALSE
deathrecords.org,Death Records,http://deathrecords.org/index.php?xpath=privacy,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142 Boston, MA 02117United States",800-309-9352,Massachusetts,Accucom,http://deathrecords.org/,https://privacyrights.org/data-brokers/death-records,TRUE
freebackgroundcheck.us,Free Background Check,http://freebackgroundcheck.us/privacy.php,People Search,No,,,"P.O. Box 990043Boston, MA 02199United States",,Massachusetts,Accucom,http://freebackgroundcheck.us/,https://privacyrights.org/data-brokers/free-background-check,FALSE
governmentregistry.org,Governmentregistry.Org,http://governmentregistry.org/index.php?xpath=privacy,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142Boston, MA 02117United States",800-309-9352,Massachusetts,Accucom,http://governmentregistry.org/index.php?xpath=terms,https://privacyrights.org/data-brokers/governmentregistryorg,TRUE
govregistry.us,Govregistry.Us,http://govregistry.us/privacy.php,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142Boston, MA 02118United States",800-309-9353,Massachusetts,Accucom,http://govregistry.us/,https://privacyrights.org/data-brokers/govregistryus,TRUE
instantbackgroundreport.com,Instantbackgroundreport.Com,http://instantbackgroundreport.com/index.php?xpath=privacy,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142Boston, MA 02117United States",800-309-9352,Massachusetts,Accucom,http://instantbackgroundreport.com/,https://privacyrights.org/data-brokers/instantbackgroundreportcom,TRUE
publicrecordschecks.com,Public Records Checks,http://publicrecordschecks.com/privacy.php,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142Boston, MA 02199United States",800-309-9352,Massachusetts,Accucom,http://publicrecordschecks.com,https://privacyrights.org/data-brokers/public-records-checks,TRUE
recordsauthority.com,Records Authority,http://recordsauthority.com/access/privacy.php,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990164Boston, MA 02199United States",800-309-9352,Massachusetts,Accucom,http://recordsauthority.com/access/index.php,https://privacyrights.org/data-brokers/records-authority,TRUE
reversenumberdatabase.com,Reverse Number Database,http://reversenumberdatabase.com/privacy,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990043Boston, MA 02199United States",800-309-9354,Massachusetts,Accucom,http://reversenumberdatabase.com,https://privacyrights.org/data-brokers/reverse-number-database,TRUE
reverserecords.org,Reverserecords.Org,http://reverserecords.org/index.php?xpath=privacy&code=,People Search,Yes - by email,,support@infotracer.com,"28 Atlantic Avenue. suite 227Boston, MA 02110United States",,Massachusetts,Accucom,http://reverserecords.org,https://privacyrights.org/data-brokers/reverserecordsorg,TRUE
accucomcorp.com,Accucom,,undefined,No,,,"28 Atlantic AvenueSuite 227 Boston, MA 02110United States",617-262-9317,Massachusetts,Accucom,http://www.accucomcorp.com/,https://privacyrights.org/data-brokers/accucom,FALSE
criminalbackgroundrecords.com,Criminal Background Records,http://www.criminalbackgroundrecords.com/privacy.html,People Search,No,,privacy@criminalbackgroundchecks.com,"738 Main St Ste 435Waltham, MA 02451United States",(888) 943-4636,Massachusetts,Unknown,http://www.criminalbackgroundrecords.com,https://privacyrights.org/data-brokers/criminal-background-records,FALSE
divorcerecords.org,Divorce Records,http://www.divorcerecords.org/index.php?xpath=privacy,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142Boston, MA 02117United States",800-309-9352,Massachusetts,Accucom,http://www.divorcerecords.org/,https://privacyrights.org/data-brokers/divorce-records,TRUE
emailtracer.com,Email Tracer,http://www.emailtracer.com/privacy.php,People Search,No,,,"P.O. Box 1452Boston, MA 02117United States",,Massachusetts,Accucom,http://www.emailtracer.com,https://privacyrights.org/data-brokers/email-tracer,TRUE
infopay.com,Info Pay,https://www.infopay.com/privacy.php,Vague,Yes - by email,,,"28 Atlantic Avenue. suite 227Boston, MA 02110United States",,Massachusetts,Accucom,http://www.infopay.com/affiliatecenter/terms,https://privacyrights.org/data-brokers/info-pay,FALSE
reversegenie.com,Reverse Genie,http://www.reversegenie.com/privacy.php,People Search,Unclear,,privacy@cisnationwide.com,"P.O. Box 990142Boston, MA 02199United States",800-309-9352,Massachusetts,Accucom,http://www.reversegenie.com,https://privacyrights.org/data-brokers/reverse-genie,TRUE
reversemobile.com,Reverse Mobile,http://www.reversemobile.com/index.php?xpath=privacy,People Search,Unclear,,privacy@cisnationwide.com,"""P.O. Box 990142 BostonBoston, MA 02199United States",800-309-9353,Massachusetts,Accucom,http://www.reversemobile.com,https://privacyrights.org/data-brokers/reverse-mobile,TRUE
zoominfo.com,Zoominfo.Com,http://www.zoominfo.com/business/about-zoominfo/privacy-policy,People Search,Yes - by email,,privacy@zoominfo.com,"307 Waverley Oaks RoadWaltham, MA 02452United States",866-904-9666,Massachusetts,Unknown,http://www.zoominfo.com/,https://privacyrights.org/data-brokers/zoominfocom,TRUE
criminalwatchdog.com,Criminal Watch Dog,https://www.criminalwatchdog.com/Privacy-Policy.aspx,People Search,No,,,"303 Wyman Street Ste 300Waltham, MA 02451United States",(800) 515-8498,Massachusetts,Unknown,https://www.criminalwatchdog.com/,https://privacyrights.org/data-brokers/criminal-watch-dog,FALSE
owneriq.com,"Owneriq, Inc.",https://www.owneriq.com/privacy-notice,Marketing Data Broker,Unclear,,tpowell@owneriq.com,"27-43 Wormwood Street, Suite 600Boston, MA 02210United States",866-870-2295,Massachusetts,Unknown,https://www.owneriq.com,https://privacyrights.org/data-brokers/owneriq-inc,TRUE
